"","date","time","state","cases_new","cases_import","cases_recovered","cases_active","cases_cluster","cases_pvax","cases_fvax","cases_child","cases_adolescent","cases_adult","cases_elderly","cases_truncate","ma_7day_cases","ma_7day_cases_truncate","rollcases_7d","deaths_new","deaths_bid","deaths_new_dod","deaths_bid_dod","deaths_pvax","deaths_fvax","deaths_tat","ma_7day_deaths","rolldeaths_7d","rt","lower","upper","population_new","ir_7day","mr_7day"
"73","2020-04-06",73,"Malaysia",131,19,236,2489,80,0,0,13,5,78,30,NA,158.857142857143,158.857142857143,1167,2,1,2,1,0,0,0,2.28571428571429,21,1.03462155271882,1.03462155271882,1.03462155271882,32696400,3.56920027892979,0.0642272543766286
"74","2020-04-07",74,"Malaysia",170,19,80,2578,77,0,0,13,13,114,22,NA,144.714285714286,144.714285714286,1197,1,0,1,0,0,0,0,2,17,1.00884472383297,1.00884472383297,1.00884472383297,32696400,3.66095349946783,0.0519934916382232
"75","2020-04-08",75,"Malaysia",156,20,166,2567,61,0,0,8,19,102,26,NA,149.571428571429,149.571428571429,1211,1,0,1,0,0,0,0,2,16,0.987846759518145,0.987846759518145,0.987846759518145,32696400,3.70377166905225,0.0489350509536218
"76","2020-04-09",76,"Malaysia",109,20,121,2553,53,0,0,4,4,85,15,NA,145.857142857143,145.857142857143,1112,2,0,2,0,0,0,0,2.42857142857143,16,0.961019338831559,0.961019338831559,0.961019338831559,32696400,3.40098604127672,0.0489350509536218
"77","2020-04-10",77,"Malaysia",118,20,222,2446,56,0,0,2,11,84,20,NA,146.285714285714,146.285714285714,1013,3,0,3,0,0,0,0,2.28571428571429,14,0.941540567411286,0.941540567411286,0.941540567411286,32696400,3.09820041350118,0.0428181695844191
"78","2020-04-11",78,"Malaysia",184,10,165,2462,114,0,0,14,9,116,18,NA,146.285714285714,146.285714285714,1047,3,0,3,0,0,0,0,2.57142857142857,14,0.923520057189291,0.923520057189291,0.923520057189291,32696400,3.20218739677763,0.0428181695844191
"79","2020-04-12",79,"Malaysia",153,14,113,2497,86,0,0,13,7,85,17,NA,136.142857142857,136.142857142857,1021,5,0,5,0,0,0,0,2.71428571428571,17,0.899678333830931,0.899678333830931,0.899678333830931,32696400,3.12266793897799,0.0519934916382232
"80","2020-04-13",80,"Malaysia",134,8,168,2462,69,0,0,3,12,99,9,NA,136.285714285714,136.285714285714,1024,1,0,1,0,0,0,0,2.71428571428571,16,0.891834720671566,0.891834720671566,0.891834720671566,32696400,3.1318432610318,0.0489350509536218
"81","2020-04-14",81,"Malaysia",170,12,202,2427,115,0,0,6,10,126,23,NA,129.285714285714,129.285714285714,1024,3,0,3,0,0,0,0,2.42857142857143,18,0.893377089243861,0.893377089243861,0.893377089243861,32696400,3.1318432610318,0.0550519323228245
"82","2020-04-15",82,"Malaysia",85,4,169,2341,51,0,0,3,3,55,24,NA,110.714285714286,110.714285714286,953,2,0,2,0,0,0,0,2,19,0.876392571780877,0.876392571780877,0.876392571780877,32696400,2.9146939724251,0.0581103730074259
"83","2020-04-16",83,"Malaysia",110,3,119,2330,49,0,0,15,15,63,15,NA,100.857142857143,100.857142857143,954,2,0,2,0,0,0,0,1.42857142857143,19,0.854398459968441,0.854398459968441,0.854398459968441,32696400,2.9177524131097,0.0581103730074259
"84","2020-04-17",84,"Malaysia",69,6,201,2197,37,0,0,8,6,44,8,NA,86.8571428571429,86.8571428571429,905,1,0,1,0,0,0,0,1.42857142857143,17,0.817661954807478,0.817661954807478,0.817661954807478,32696400,2.76788881956423,0.0519934916382232
"85","2020-04-18",85,"Malaysia",54,6,135,2116,36,0,0,4,3,39,8,NA,70.7142857142857,70.7142857142857,775,0,0,0,0,0,0,0,1.28571428571429,14,0.764396915692533,0.764396915692533,0.764396915692533,32696400,2.37029153056606,0.0428181695844191
"86","2020-04-19",86,"Malaysia",84,48,95,2104,17,0,0,4,6,67,3,NA,65.7142857142857,65.7142857142857,706,1,0,1,0,0,0,0,1.28571428571429,10,0.716782888772376,0.716782888772376,0.716782888772376,32696400,2.15925912332856,0.0305844068460136
"87","2020-04-20",87,"Malaysia",36,13,98,2041,5,0,0,2,3,26,5,NA,60.1428571428571,60.1428571428571,608,1,0,1,0,0,0,0,1.14285714285714,10,0.66528300081515,0.66528300081515,0.66528300081515,32696400,1.85953193623763,0.0305844068460136
"88","2020-04-21",88,"Malaysia",57,18,54,2042,15,0,0,1,9,43,4,NA,62.8571428571429,62.8571428571429,495,2,0,2,0,0,0,0,1.14285714285714,9,0.626663021490281,0.626663021490281,0.626663021490281,32696400,1.51392813887767,0.0275259661614123
"89","2020-04-22",89,"Malaysia",50,5,103,1987,24,0,0,0,4,33,5,NA,62.4285714285714,62.4285714285714,460,2,0,2,0,0,0,0,1.42857142857143,9,0.611535606535297,0.611535606535297,0.611535606535297,32696400,1.40688271491663,0.0275259661614123
"90","2020-04-23",90,"Malaysia",71,20,90,1967,42,0,0,2,4,39,4,NA,55.8571428571429,55.8571428571429,421,1,0,1,0,0,0,0,1.28571428571429,8,0.603521028178141,0.603521028178141,0.603521028178141,32696400,1.28760352821717,0.0244675254768109
"91","2020-04-24",91,"Malaysia",88,15,121,1933,67,0,0,3,7,37,2,NA,56.4285714285714,56.4285714285714,440,1,0,1,0,0,0,0,1.28571428571429,8,0.617053683744224,0.617053683744224,0.617053683744224,32696400,1.3457139012246,0.0244675254768109
"92","2020-04-25",92,"Malaysia",51,4,99,1883,40,0,0,2,3,19,6,NA,52.7142857142857,52.7142857142857,437,2,0,2,0,0,0,0,1.14285714285714,10,0.65095415041203,0.65095415041203,0.65095415041203,32696400,1.3365385791708,0.0305844068460136
