"","date","state","variant_count","variant","status"
"93",2021-04-14,"Kedah",0,"Delta B.1.617.2","voc"
"94",2021-04-14,"Kedah",0,"Eta B.1.525","voi"
"95",2021-04-14,"Kedah",0,"Theta P.3","voi"
"96",2021-04-14,"Perlis",0,"Beta B.1.351","voc"
"97",2021-04-14,"Pulau Pinang",0,"Alpha B.1.1.7","voc"
"98",2021-04-14,"Pulau Pinang",0,"Delta B.1.617.2","voc"
"99",2021-04-14,"Pulau Pinang",0,"Eta B.1.525","voi"
"100",2021-04-14,"Pulau Pinang",0,"Theta P.3","voi"
"101",2021-04-14,"Pulau Pinang",0,"Beta B.1.351","voc"
"102",2021-04-14,"Negeri Sembilan",0,"Alpha B.1.1.7","voc"
"103",2021-04-14,"Negeri Sembilan",0,"Delta B.1.617.2","voc"
"104",2021-04-14,"Negeri Sembilan",0,"Eta B.1.525","voi"
"105",2021-04-14,"Negeri Sembilan",0,"Theta P.3","voi"
"106",2021-04-14,"Sabah",0,"Beta B.1.351","voc"
"107",2021-04-14,"Johor",0,"Alpha B.1.1.7","voc"
"108",2021-04-14,"Johor",0,"Delta B.1.617.2","voc"
"109",2021-04-14,"Johor",0,"Eta B.1.525","voi"
"110",2021-04-14,"Johor",0,"Theta P.3","voi"
"111",2021-04-14,"Sarawak",0,"Beta B.1.351","voc"
"112",2021-04-14,"Perlis",0,"Alpha B.1.1.7","voc"
"113",2021-04-14,"Perlis",0,"Delta B.1.617.2","voc"
"114",2021-04-14,"Perlis",0,"Eta B.1.525","voi"
"115",2021-04-14,"Perlis",0,"Theta P.3","voi"
"116",2021-04-14,"Selangor",13,"Beta B.1.351","voc"
"117",2021-04-14,"W.P. Labuan",0,"Alpha B.1.1.7","voc"
"118",2021-04-14,"W.P. Labuan",0,"Delta B.1.617.2","voc"
"119",2021-04-14,"W.P. Labuan",0,"Eta B.1.525","voi"
"120",2021-04-14,"W.P. Labuan",0,"Theta P.3","voi"
"121",2021-04-14,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc"
"122",2021-04-14,"Sabah",0,"Alpha B.1.1.7","voc"
"123",2021-04-14,"Sabah",0,"Delta B.1.617.2","voc"
"124",2021-04-14,"Sabah",0,"Eta B.1.525","voi"
"125",2021-04-14,"Sabah",0,"Theta P.3","voi"
"126",2021-04-14,"W.P. Labuan",0,"Beta B.1.351","voc"
"127",2021-04-14,"Malaysia",0,"Alpha B.1.1.7","voc"
"128",2021-04-14,"Malaysia",0,"Delta B.1.617.2","voc"
"129",2021-04-14,"Malaysia",0,"Eta B.1.525","voi"
"130",2021-04-14,"Malaysia",0,"Theta P.3","voi"
"131",2021-05-02,"Johor",0,"Beta B.1.351","voc"
"132",2021-05-02,"Selangor",0,"Alpha B.1.1.7","voc"
"133",2021-05-02,"Selangor",0,"Delta B.1.617.2","voc"
"134",2021-05-02,"Selangor",0,"Eta B.1.525","voi"
"135",2021-05-02,"Selangor",0,"Theta P.3","voi"
"136",2021-05-02,"Kedah",0,"Beta B.1.351","voc"
"137",2021-05-02,"Sarawak",0,"Alpha B.1.1.7","voc"
