"","date","state","ratio"
"144",2021-07-01,"Kedah",0.13745704467354
"145",2021-07-01,"Kelantan",0
"146",2021-07-01,"Malaysia",0.0664767331433998
"147",2021-07-01,"Melaka",0.155682407887909
"148",2021-07-01,"Negeri Sembilan",0.0657174151150055
"149",2021-07-01,"Pahang",0.321802091713596
"150",2021-07-01,"Perak",0
"151",2021-07-01,"Perlis",0
"152",2021-07-01,"Pulau Pinang",0
"153",2021-07-01,"Sabah",0.27681660899654
"154",2021-07-01,"Sarawak",0
"155",2021-07-01,"Selangor",0.00605473480261564
"156",2021-07-01,"Terengganu",0.48780487804878
"157",2021-07-01,"W.P. Kuala Lumpur",0.0731261425959781
"158",2021-07-01,"W.P. Labuan",0.379266750948167
"159",2021-07-01,"W.P. Putrajaya",0
"160",2021-07-13,"Johor",0.0439850450846712
"161",2021-07-13,"Kedah",0
"162",2021-07-13,"Kelantan",0
"163",2021-07-13,"Malaysia",0.0783650574333381
"164",2021-07-13,"Melaka",0.154519701261911
"165",2021-07-13,"Negeri Sembilan",0
"166",2021-07-13,"Pahang",0.27378507871321
"167",2021-07-13,"Perak",0.0353356890459364
"168",2021-07-13,"Perlis",7.69230769230769
"169",2021-07-13,"Pulau Pinang",0.041407867494824
"170",2021-07-13,"Sabah",0.0315159155373464
"171",2021-07-13,"Sarawak",0.932791198277924
"172",2021-07-13,"Selangor",0.0135479937679229
"173",2021-07-13,"Terengganu",0.67476383265857
"174",2021-07-13,"W.P. Kuala Lumpur",0.00805023345677025
"175",2021-07-13,"W.P. Labuan",0.515995872033024
"176",2021-07-13,"W.P. Putrajaya",0
"177",2021-07-23,"Johor",0.0874253242022439
"178",2021-07-23,"Kedah",0.0434908669179472
"179",2021-07-23,"Kelantan",0.0413223140495868
"180",2021-07-23,"Malaysia",0.109200109200109
"181",2021-07-23,"Melaka",0
"182",2021-07-23,"Negeri Sembilan",0.01776514478593
"183",2021-07-23,"Pahang",0.211976682564918
"184",2021-07-23,"Perak",0.123685837971552
"185",2021-07-23,"Perlis",0
"186",2021-07-23,"Pulau Pinang",0.0508259212198221
"187",2021-07-23,"Sabah",0
"188",2021-07-23,"Sarawak",2.48530197755211
"189",2021-07-23,"Selangor",0.0251369063650238
"190",2021-07-23,"Terengganu",0
"191",2021-07-23,"W.P. Kuala Lumpur",0.0206725468577729
"192",2021-07-23,"W.P. Labuan",0
"193",2021-07-23,"W.P. Putrajaya",0
"194",2021-07-28,"Johor",0.0410088168956326
"195",2021-07-28,"Kedah",0.0373482726423903
"196",2021-07-28,"Kelantan",0
"197",2021-07-28,"Malaysia",0
"198",2021-07-28,"Melaka",0.116324156649864
"199",2021-07-28,"Negeri Sembilan",0
"200",2021-07-28,"Pahang",0
"201",2021-07-28,"Perak",0
"202",2021-07-28,"Perlis",4.16666666666667
"203",2021-07-28,"Pulau Pinang",0
"204",2021-07-28,"Sabah",0
"205",2021-07-28,"Sarawak",0
"206",2021-07-28,"Selangor",0.00276655784872462
"207",2021-07-28,"Terengganu",0.0628140703517588
"208",2021-07-28,"W.P. Kuala Lumpur",0
"209",2021-07-28,"W.P. Labuan",0
"210",2021-07-28,"W.P. Putrajaya",0
"211",2021-08-17,"Johor",0.0190237035346041
"212",2021-08-17,"Kedah",0.0230733733271804
"213",2021-08-17,"Kelantan",0.0162443144899285
"214",2021-08-17,"Malaysia",0.0734076291686913
"215",2021-08-17,"Melaka",0
"216",2021-08-17,"Negeri Sembilan",0.0116938548792609
"217",2021-08-17,"Pahang",0.00800961153384061
"218",2021-08-17,"Perak",0.0175202943409449
"219",2021-08-17,"Perlis",0.230414746543779
"220",2021-08-17,"Pulau Pinang",0
"221",2021-08-17,"Sabah",0.00369153530953524
"222",2021-08-17,"Sarawak",1.27500704423781
"223",2021-08-17,"Selangor",0.0374040146975775
"224",2021-08-17,"Terengganu",0.0493485984998026
"225",2021-08-17,"W.P. Kuala Lumpur",0.0171522383671069
"226",2021-08-17,"W.P. Labuan",0
"227",2021-08-17,"W.P. Putrajaya",0.30441400304414
"228",2021-08-31,"Johor",0.0120081655525758
"229",2021-08-31,"Kedah",0.00370988684845112
"230",2021-08-31,"Kelantan",0
"231",2021-08-31,"Malaysia",0.169214263007312
"232",2021-08-31,"Melaka",0.0274423710208562
"233",2021-08-31,"Negeri Sembilan",0.138552130239002
"234",2021-08-31,"Pahang",0.210107265288068
"235",2021-08-31,"Perak",0.0193898655635988
"236",2021-08-31,"Perlis",0.116959064327485
"237",2021-08-31,"Pulau Pinang",0.131056058171979
"238",2021-08-31,"Sabah",0.0128501670521717
"239",2021-08-31,"Sarawak",1.56163677212626
"240",2021-08-31,"Selangor",0.0137703112090333
"241",2021-08-31,"Terengganu",0
"242",2021-08-31,"W.P. Kuala Lumpur",0.0192122958693564
"243",2021-08-31,"W.P. Labuan",0
"244",2021-08-31,"W.P. Putrajaya",0
"245",2021-09-10,"Johor",0.113303748465678
"246",2021-09-10,"Kedah",0.147792351745797
"247",2021-09-10,"Kelantan",0.0743328625585371
"248",2021-09-10,"Malaysia",0.0529029872211037
"249",2021-09-10,"Melaka",0.337224383916991
"250",2021-09-10,"Negeri Sembilan",0.119521912350598
"251",2021-09-10,"Pahang",0
"252",2021-09-10,"Perak",0.0578990901571547
"253",2021-09-10,"Perlis",0
"254",2021-09-10,"Pulau Pinang",0
"255",2021-09-10,"Sabah",0
"256",2021-09-10,"Sarawak",0
"257",2021-09-10,"Selangor",0.0395437262357414
"258",2021-09-10,"Terengganu",0.067330999192028
"259",2021-09-10,"W.P. Kuala Lumpur",0.0678195998643608
"260",2021-09-10,"W.P. Labuan",0
"261",2021-09-10,"W.P. Putrajaya",0
"262",2021-09-14,"Johor",0.166746069556932
"263",2021-09-14,"Kedah",0
"264",2021-09-14,"Kelantan",0
"265",2021-09-14,"Malaysia",0
"266",2021-09-14,"Melaka",0.0732600732600733
"267",2021-09-14,"Negeri Sembilan",0.128205128205128
"268",2021-09-14,"Pahang",0
"269",2021-09-14,"Perak",0
"270",2021-09-14,"Perlis",0
"271",2021-09-14,"Pulau Pinang",0
"272",2021-09-14,"Sabah",0.259811294954191
"273",2021-09-14,"Sarawak",0
"274",2021-09-14,"Selangor",0.214086919289231
"275",2021-09-14,"Terengganu",0
"276",2021-09-14,"W.P. Kuala Lumpur",0.344827586206897
"277",2021-09-14,"W.P. Labuan",0
"278",2021-09-14,"W.P. Putrajaya",0
"279",2021-10-07,"Johor",0.118131788976287
"280",2021-10-07,"Kedah",0.0320393015432264
"281",2021-10-07,"Kelantan",0.0531813865147198
"282",2021-10-07,"Malaysia",0.306993023186574
"283",2021-10-07,"Melaka",0.508582326764145
"284",2021-10-07,"Negeri Sembilan",1.06035889070147
"285",2021-10-07,"Pahang",0.318329407270644
"286",2021-10-07,"Perak",0.0309173623073186
"287",2021-10-07,"Perlis",0.448717948717949
"288",2021-10-07,"Pulau Pinang",0.29152090621356
"289",2021-10-07,"Sabah",0.198533903481979
"290",2021-10-07,"Sarawak",0.51413881748072
"291",2021-10-07,"Selangor",0.415457002702973
"292",2021-10-07,"Terengganu",0.134179068065382
"293",2021-10-07,"W.P. Kuala Lumpur",0.808867585380467
"294",2021-10-07,"W.P. Labuan",2.17391304347826
"295",2021-10-07,"W.P. Putrajaya",0.511073253833049
"296",2021-10-19,"Johor",0.477512493059411
"297",2021-10-19,"Kedah",0.0197160883280757
"298",2021-10-19,"Kelantan",0.00993541977148535
"299",2021-10-19,"Malaysia",0.152032584894315
"300",2021-10-19,"Melaka",0.556173526140156
"301",2021-10-19,"Negeri Sembilan",0.817067635043123
"302",2021-10-19,"Pahang",0.137772675086108
"303",2021-10-19,"Perak",0
"304",2021-10-19,"Perlis",0.176678445229682
"305",2021-10-19,"Pulau Pinang",0.106534090909091
"306",2021-10-19,"Sabah",0.167439464193715
"307",2021-10-19,"Sarawak",0.0167630542284804
"308",2021-10-19,"Selangor",0.0875715729201751
"309",2021-10-19,"Terengganu",0.018828845791753
"310",2021-10-19,"W.P. Kuala Lumpur",0.429610046265697
"311",2021-10-19,"W.P. Labuan",0
"312",2021-10-19,"W.P. Putrajaya",0.284900284900285
"313",2021-11-05,"Johor",0.843170320404722
"314",2021-11-05,"Kedah",0.463406839245765
"315",2021-11-05,"Kelantan",0.264754550468836
"316",2021-11-05,"Malaysia",1.3689870963008
"317",2021-11-05,"Melaka",0.448304847296161
"318",2021-11-05,"Negeri Sembilan",1.08245781598217
"319",2021-11-05,"Pahang",0.899640143942423
"320",2021-11-05,"Perak",0.542231491136601
"321",2021-11-05,"Perlis",1.42857142857143
"322",2021-11-05,"Pulau Pinang",1.63182984965163
"323",2021-11-05,"Sabah",0.357030347579544
"324",2021-11-05,"Sarawak",7.41401992106747
"325",2021-11-05,"Selangor",0.541165344401828
"326",2021-11-05,"Terengganu",0.373427672955975
"327",2021-11-05,"W.P. Kuala Lumpur",0.280439354989484
"328",2021-11-05,"W.P. Labuan",5.40540540540541
"329",2021-11-05,"W.P. Putrajaya",0.19723865877712
"330",2021-11-11,"Johor",1.03966114747786
"331",2021-11-11,"Kedah",0
"332",2021-11-11,"Kelantan",0.0259672812256557
"333",2021-11-11,"Malaysia",0.43731778425656
"334",2021-11-11,"Melaka",0.102564102564103
"335",2021-11-11,"Negeri Sembilan",0.89126559714795
"336",2021-11-11,"Pahang",0.894854586129754
"337",2021-11-11,"Perak",0
"338",2021-11-11,"Perlis",1.48514851485149
"339",2021-11-11,"Pulau Pinang",2.17252396166134
"340",2021-11-11,"Sabah",0.889621087314662
"341",2021-11-11,"Sarawak",0
"342",2021-11-11,"Selangor",0.140884756269372
"343",2021-11-11,"Terengganu",0
"344",2021-11-11,"W.P. Kuala Lumpur",0.515759312320917
"345",2021-11-11,"W.P. Labuan",0
"346",2021-11-11,"W.P. Putrajaya",0
